depth,action,visits,prior_prob,c_puct,puct_explore,mean_q_value,puct_score,Meth_State,el_price,pot_reward
0,3,14,0.20372362434864044,1.8329091229351038,0.3233798523642714,4.740892728169759,5.0642725805340305,2,5.023,53.745362237126116
1,4,3,0.2001539170742035,1.8329091229351038,0.3177134922890375,4.752795378367106,5.070508870656144,3,5.023,53.745362237126116
2,1,1,0.0,0.0,0.0,0.0,0.0,1,5.023,53.745362237126116
2,0,1,0.0,0.0,0.0,0.0,0.0,0,5.023,53.745362237126116
1,0,3,0.1988949477672577,1.8329091229351038,0.3157150725676479,4.751315116882324,5.067030189449972,0,5.023,53.745362237126116
2,0,1,0.0,0.0,0.0,0.0,0.0,0,5.023,53.745362237126116
2,1,1,0.0,0.0,0.0,0.0,0.0,1,5.023,53.745362237126116
1,3,4,0.20406967401504517,1.8329091229351038,0.3239291528707319,4.756450494130452,5.080379647001184,3,5.023,53.745362237126116
2,0,1,0.0,0.0,0.0,0.0,0.0,0,5.023,53.745362237126116
2,3,1,0.0,0.0,0.0,0.0,0.0,3,5.023,53.745362237126116
2,4,1,0.0,0.0,0.0,0.0,0.0,4,5.023,53.745362237126116
1,1,3,0.19950075447559357,1.8329091229351038,0.31667669734007825,4.761451085408528,5.078127782748607,1,5.023,53.745362237126116
2,0,1,0.0,0.0,0.0,0.0,0.0,0,5.023,53.745362237126116
2,1,1,0.0,0.0,0.0,0.0,0.0,1,5.023,53.745362237126116
