depth,action,visits,prior_prob,c_puct,puct_explore,mean_q_value,puct_score,Meth_State,el_price,pot_reward
0,0,15,0.20096585154533386,1.8329091229351038,0.2552018504904391,1.820124626159668,2.075326476650107,0,4.329,70.48461872932839
1,2,4,0.20098164677619934,1.8754687373538999,0.27181154639982597,1.8243826627731323,2.096194209172958,2,4.329,70.48461872932839
2,1,1,0.0,0.0,0.0,0.0,0.0,1,3.6420000000000003,86.87284309451549
2,4,1,0.0,0.0,0.0,0.0,0.0,2,3.6420000000000003,86.87284309451549
2,0,1,0.0,0.0,0.0,0.0,0.0,0,3.6420000000000003,86.87284309451549
1,0,5,0.2005329132080078,1.8754687373538999,0.2712046702643773,1.8266026675701141,2.0978073378344915,0,4.329,70.48461872932839
2,0,1,0.2005377858877182,1.336472236621213,0.23210622522841332,1.8285467624664307,2.060652987694844,0,3.6420000000000003,86.87284309451549
2,2,2,0.2010248750448227,1.336472236621213,0.23266999142890638,1.8300116062164307,2.062681597645337,2,3.6420000000000003,86.87284309451549
3,1,1,0.0,0.0,0.0,0.0,0.0,1,3.6420000000000003,86.87284309451549
2,1,1,0.20202325284481049,1.336472236621213,0.23382553277230567,1.828542947769165,2.062368480541471,1,3.6420000000000003,86.87284309451549
1,1,5,0.20197364687919617,1.8754687373538999,0.22762762243401322,1.8270789861679078,2.054706608601921,1,4.329,70.48461872932839
2,0,1,0.20053763687610626,1.336472236621213,0.23210605275955606,1.8285661935806274,2.0606722463401836,0,3.6420000000000003,86.87284309451549
2,2,2,0.20102815330028534,1.336472236621213,0.2326737857437653,1.830278754234314,2.0629525399780793,2,3.6420000000000003,86.87284309451549
3,0,1,0.0,0.0,0.0,0.0,0.0,0,3.6420000000000003,86.87284309451549
2,1,1,0.20202083885669708,1.336472236621213,0.23382273877681867,1.82857084274292,2.0623935815197387,1,3.6420000000000003,86.87284309451549
